Variable;Description;Subcategory;Type;Values;;Mutability;Data Source
IN_PROF_COORDENADOR;Profissionais que atuam na escola - Coordenador(a) de turno/disciplina;Support staff;Binary (0/1);"0 - No; 1 - Yes";"0 - Não; 1 - Sim";Operational;School Census 2024
IN_PROF_PSICOLOGO;Profissionais que atuam na escola - Psicólogo(a) Escolar;Support staff;Binary (0/1);"0 - No; 1 - Yes";"0 - Não; 1 - Sim";Operational;School Census 2024
QT_PROF_PSICOLOGO;Quantidade de profissionais que atuam na escola - Psicólogo(a) Escolar;Support staff;Numeric (count);88888 - registro com marcação de valor extremo (valor superior ao limite máximo* definido com base na distribuição da razão de profissionais por matrícula);88888 - registro com marcação de valor extremo (valor superior ao limite máximo* definido com base na distribuição da razão de profissionais por matrícula);Operational;School Census 2024
IN_PROF_PEDAGOGIA;Profissionais que atuam na escola -  Profissionais de apoio e supervisão pedagógica: pedagogo(a), coordenador(a) pedagógico(a), orientador(a) educacional, supervisor(a) escolar e coordenador(a) de área de ensino;Support staff;Binary (0/1);"0 - No; 1 - Yes";"0 - Não; 1 - Sim";Operational;School Census 2024
QT_PROF_PEDAGOGIA;Quantidade de profissionais que atuam na escola -  Profissionais de apoio e supervisão pedagógica: pedagogo(a), coordenador(a) pedagógico(a), orientador(a) educacional, supervisor(a) escolar e coordenador(a) de área de ensino;Support staff;Numeric (count);88888 - registro com marcação de valor extremo (valor superior ao limite máximo* definido com base na distribuição da razão de profissionais por matrícula);88888 - registro com marcação de valor extremo (valor superior ao limite máximo* definido com base na distribuição da razão de profissionais por matrícula);Operational;School Census 2024
IN_PROF_BIBLIOTECARIO;Profissionais que atuam na escola - Bibliotecário(a), auxiliar de biblioteca ou monitor(a) da sala de leitura;Support staff;Binary (0/1);"0 - No; 1 - Yes";"0 - Não; 1 - Sim";Operational;School Census 2024
QT_PROF_BIBLIOTECARIO;Quantidade de profissionais que atuam na escola - Bibliotecário(a), auxiliar de biblioteca ou monitor(a) da sala de leitura;Support staff;Numeric (count);88888 - registro com marcação de valor extremo (valor superior ao limite máximo* definido com base na distribuição da razão de profissionais por matrícula);88888 - registro com marcação de valor extremo (valor superior ao limite máximo* definido com base na distribuição da razão de profissionais por matrícula);Operational;School Census 2024
IN_PROF_ASSIST_SOCIAL;Profissionais que atuam na escola - Orientador(a) comunitário(a) ou assistente social;Support staff;Binary (0/1);"0 - No; 1 - Yes";"0 - Não; 1 - Sim";Operational;School Census 2024
QT_PROF_ASSIST_SOCIAL;Quantidade de profissionais que atuam na escola - Orientador(a) comunitário(a) ou assistente social;Support staff;Numeric (count);88888 - registro com marcação de valor extremo (valor superior ao limite máximo* definido com base na distribuição da razão de profissionais por matrícula);88888 - registro com marcação de valor extremo (valor superior ao limite máximo* definido com base na distribuição da razão de profissionais por matrícula);Operational;School Census 2024
IN_PROF_MONITORES;Profissionais que atuam na escola - Técnicos(as), monitores(as), supervisores(as) ou auxiliares de laboratório(s), de apoio a tecnologias educacionais ou em multimeios/multimídias eletrônico/digitais;Support staff;Binary (0/1);"0 - No; 1 - Yes";"0 - Não; 1 - Sim";Operational;School Census 2024
